Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.springframework.boot:spring-boot-autoconfigure:4.0.0,org.springframework.boot,,SpringBootApplication,1,
org.springframework.boot:spring-boot:4.0.0,org.springframework.boot,,"SpringApplication, EnableConfigurationProperties",1,
com.graphql-java:graphql-java:25.0,com.graphql-java,,"Coercing, RuntimeWiring.Builder, StringValue, GraphQLScalarType, CoercingSerializeException, RuntimeWiring, CoercingParseLiteralException, CoercingParseValueException",1,
org.springframework:spring-context:7.0.1,org.springframework,,Configuration,1,
com.netflix.graphql.dgs:graphql-dgs:11.1.0,com.netflix.graphql.dgs,,"DgsScalar, DgsComponent, DgsRuntimeWiring",1,
com.graphql-java:graphql-java-extended-scalars:22.0,com.graphql-java,,ExtendedScalars,1,
org.openrewrite:rewrite-core:8.72.6,org.openrewrite,,Nullable,1,
org.springframework:spring-core:7.0.1,org.springframework,,"DataBufferUtils, DefaultDataBufferFactory, DataBufferFactory, ClassPathResource, DataBuffer",1,
org.springframework:spring-web:6.2.12,org.springframework,,"RestController, MediaType, GetMapping, ServerHttpResponse",1,
com.fasterxml.jackson.core:jackson-databind:2.20.1,com.fasterxml.jackson.core,,ObjectMapper,1,
io.projectreactor:reactor-core:3.8.0,io.projectreactor,,Flux,1,
io.moderne:moderne-organizations-format:0.31.0,io.moderne,,Organization,1,
io.prometheus:simpleclient_common:0.16.0,io.prometheus,,TextFormat,1,
io.micrometer:micrometer-registry-prometheus:1.17.0-M1,io.micrometer,,PrometheusMeterRegistry,1,
org.jspecify:jspecify:1.0.0,org.jspecify,,Nullable,1,
org.springframework.boot:spring-boot-test-autoconfigure:3.5.7,org.springframework.boot,,AutoConfigureObservability,1,
org.springframework.boot:spring-boot-test:3.5.7,org.springframework.boot,,SpringBootTest,1,
io.projectreactor:reactor-test:3.7.12,io.projectreactor,,StepVerifier,1,
org.mockito:mockito-core:5.17.0,org.mockito,,"Mockito, InvocationOnMock",1,
org.junit.jupiter:junit-jupiter-api:6.1.0-M1,org.junit.jupiter,,Test,1,
org.springframework:spring-beans:7.0.1,org.springframework,,Autowired,1,
